Feed_inefficiency,Protein_efficiency,Animal_mortality,Fertilizer_use,Land_use,Soy_use,Permanent_grassland,Grazing,Manure_biogas,Renewable_electricity_use,Carbon_footprint
0.901,36.647,4.423,130.151,1.564,0.409,0.443,12.974,1,1,0.909
0.829,33.831,5.449,287.646,0.632,6.752,0.843,10.196,1,0,0.879
0.816,33.729,7.899,98.419,1.522,1.026,0.340,10.969,0,1,0.914
0.792,34.136,6.654,313.743,0.774,0.471,0.329,16.810,1,0,0.894
0.769,38.356,2.586,172.565,1.231,10.335,0.447,11.661,0,1,0.907
0.865,35.047,0.995,153.972,0.769,0.419,0.623,15.771,0,0,0.880
0.859,34.766,1.870,158.562,0.961,4.034,1.046,12.156,0,1,0.901
0.815,34.269,2.554,144.401,1.232,6.797,1.461,20.361,0,1,0.914
0.709,34.923,4.255,241.907,0.755,16.605,0.491,16.410,0,0,0.895
0.773,36.288,3.303,195.948,1.006,5.613,1.056,0.436,1,0,0.873
0.706,35.958,5.499,178.875,1.295,7.698,0.665,9.458,0,1,0.913
0.739,31.880,4.429,255.528,0.621,3.471,1.873,1.165,0,0,0.894
0.738,30.131,4.734,160.705,0.680,0.431,0.326,3.613,0,0,0.878
0.875,34.538,3.476,104.724,1.278,0.401,1.019,5.961,0,1,0.907
0.945,30.246,3.731,134.366,1.346,0.403,0.505,34.312,1,1,0.919
0.785,27.760,4.771,152.441,0.913,0.434,0.357,5.567,0,1,0.904
0.784,34.496,8.963,159.194,0.887,4.036,0.355,2.325,1,0,0.857
0.805,36.034,3.610,201.982,0.973,0.401,0.920,7.166,0,1,0.904
0.980,35.686,0.777,113.391,1.570,0.401,1.361,35.678,0,1,0.940
0.846,30.472,3.873,85.165,1.882,2.471,1.238,32.863,0,1,0.941
0.812,33.007,8.917,208.188,0.751,4.226,0.530,16.175,1,0,0.874
0.726,34.361,7.460,120.298,1.748,0.450,0.400,1.618,0,1,0.922
0.811,35.925,2.321,314.568,0.685,5.869,1.155,10.409,0,1,0.903
0.814,31.631,1.483,250.074,0.691,3.522,0.371,1.308,0,1,0.904
0.926,28.810,1.093,231.307,0.963,7.286,2.148,59.580,1,1,0.918
0.959,28.355,0.727,78.964,1.164,0.401,0.642,64.134,0,0,0.932
0.710,34.136,13.029,159.991,1.077,3.079,1.049,0.618,1,0,0.859
0.782,36.725,5.417,161.510,0.625,16.881,1.185,14.296,0,0,0.867
0.880,31.077,1.456,161.203,1.109,0.717,1.005,34.489,0,1,0.927
